id,retweet_count,favorite_count
816062466425819140,997,0
816014286006976512,5165,0
815990720817401858,997,4882
815966073409433600,8308,22101
815745968457060357,4061,0
815736392542261248,2228,9723
815639385530101762,1619,8122
815390420867969024,3752,10232
814986499976527872,1253,7560
814638523311648768,2656,11136
814578408554463233,5745,0
814530161257443328,1835,8530
814153002265309185,8541,28394
813944609378369540,3139,0
813910438903693312,1832,9208
813812741911748608,13757,36052
813800681631023104,1726,8224
813217897535406080,7187,18430
813202720496779264,1794,9129
813187593374461952,4284,19626
813172488309972993,1898,9163
813157409116065792,2172,7680
813142292504645637,2354,8397
813130366689148928,439,4440
813127251579564032,3065,11683
813112105746448384,2694,10193
813096984823349248,3577,10450
813081950185472002,2749,9808
813066809284972545,1922,7843
813051746834595840,7258,20714
812781120811126785,1877,7468
812709060537683968,1422,6550
812503143955202048,1200,5987
812466873996607488,1910,7891
812372279581671427,3618,13515
811985624773361665,1382,7193
811744202451197953,1566,7465
811647686436880384,725,5549
811627233043480576,3029,12622
811386762094317568,6296,20724
810984652412424192,1414,5266
810896069567610880,1743,8907
810657578271330305,2605,10856
810284430598270976,11084,34849
810254108431155201,3329,14547
809920764300447744,3883,15408
809808892968534016,4833,0
809448704142938112,1442,6881
809220051211603969,5515,19716
809084759137812480,3486,13092
808838249661788160,2999,10013
808733504066486276,2134,7824
808501579447930884,2576,11195
808344865868283904,20578,42089
808134635716833280,5841,0
808106460588765185,2184,8735
808001312164028416,3497,12409
807621403335917568,3569,14441
807106840509214720,54647,116922
807059379405148160,7245,0
807010152071229440,3821,12982
806629075125202948,34159,73836
806620845233815552,5465,0
806576416489959424,1939,4850
806542213899489280,2333,10116
806242860592926720,11490,0
806219024703037440,1183,6394
805958939288408065,5300,0
805932879469572096,1902,8219
805826884734976000,1796,6500
805823200554876929,7915,0
805520635690676224,1641,5704
805487436403003392,2490,8720
805207613751304193,1698,7783
804738756058218496,3781,13566
804475857670639616,1988,6086
804413760345620481,3195,0
804026241225523202,15909,43995
803773340896923648,2706,9967
803692223237865472,7347,0
803638050916102144,4102,10840
803380650405482500,1857,7699
803321560782307329,5258,0
803276597545603072,2429,9949
802952499103731712,1975,8947
802624713319034886,2874,0
802600418706604034,1446,7036
802572683846291456,2480,8873
802323869084381190,5766,16037
802265048156610565,1362,6878
802239329049477120,2594,9012
802185808107208704,270,0
801958328846974976,1707,7682
801854953262350336,235,1781
801538201127157760,2044,8160
801285448605831168,808,5999
801167903437357056,5841,24240
801127390143516673,3910,0
801115127852503040,2079,8002
800859414831898624,97,682
800855607700029440,1592,0
800751577355128832,2764,10491
800513324630806528,2961,13031
800459316964663297,2153,9431
800443802682937345,4277,0
800388270626521089,2779,11070
800188575492947969,3894,0
800141422401830912,2517,15154
800018252395122689,13000,28083
799774291445383169,4623,0
799757965289017345,2140,8323
799422933579902976,1906,7996
799308762079035393,5403,0
799297110730567681,2721,9784
799063482566066176,2455,8020
798933969379225600,4403,12966
798925684722855936,1430,7459
798705661114773508,6578,0
798701998996647937,7684,0
798697898615730177,6461,0
798694562394996736,4895,0
798686750113755136,2308,0
798682547630837760,4693,0
798673117451325440,5505,0
798665375516884993,3872,0
798644042770751489,1833,0
798628517273620480,1960,0
798585098161549313,5616,0
798576900688019456,5773,0
798340744599797760,3289,0
798209839306514432,2528,10332
797971864723324932,3073,11479
797545162159308800,4822,14432
797236660651966464,6491,19742
797165961484890113,26,222
796904159865868288,8829,0
796865951799083009,1896,7620
796759840936919040,3000,11706
796563435802726400,7162,0
796484825502875648,1733,7503
796387464403357696,4092,10901
796177847564038144,14115,0
796149749086875649,14115,31961
796125600683540480,1784,4931
796116448414461957,2387,9008
796080075804475393,2282,8380
796031486298386433,3675,10705
795464331001561088,23300,49065
795400264262053889,2830,9946
795076730285391872,5382,16045
794983741416415232,3338,0
794926597468000259,2291,10134
794355576146903043,10161,0
794332329137291264,2651,9520
794205286408003585,3287,9157
793962221541933056,4833,16669
793845145112371200,1834,9148
793614319594401792,3097,0
793601777308463104,1596,7904
793500921481273345,2350,10580
793286476301799424,9055,24350
793271401113350145,2368,8624
793256262322548741,8252,19814
793241302385262592,3255,10420
793226087023144960,2850,9712
793210959003287553,2765,8836
793195938047070209,5559,15117
793180763617361921,1980,6874
793165685325201412,2754,9296
793150605191548928,1681,6132
793135492858580992,2472,6345
793120401413079041,3878,12536
792913359805018113,3934,14181
792883833364439040,4223,11187
792773781206999040,1655,7296
792394556390137856,4258,13285
792050063153438720,1767,7076
791821351946420224,20848,0
791784077045166082,9449,0
791780927877898241,3773,0
791774931465953280,21916,44677
791672322847637504,3097,11638
791406955684368384,4061,13034
791312159183634433,2504,8677
791026214425268224,4040,0
790987426131050500,2105,9734
790946055508652032,4630,16519
790723298204217344,2281,0
790698755171364864,1900,8131
790581949425475584,7039,20471
790337589677002753,1861,7756
790277117346975746,3139,12440
790227638568808452,3513,0
789986466051088384,2281,9168
789960241177853952,4058,0
789903600034189313,4089,10234
789628658055020548,1740,7411
789599242079838210,1898,6671
789530877013393408,3338,11613
789314372632018944,2263,8558
789280767834746880,4858,0
789268448748703744,2573,9031
789137962068021249,2757,9612
788908386943430656,12335,27171
788765914992902144,10161,27042
788552643979468800,7067,0
788412144018661376,5196,15384
788178268662984705,2070,7153
788150585577050112,1257,6059
788070120937619456,3386,0
788039637453406209,1292,6062
787810552592695296,3009,8523
787717603741622272,2747,10160
787397959788929025,2816,10782
787322443945877504,1722,7707
787111942498508800,6663,0
786963064373534720,7864,26355
786729988674449408,2397,0
786709082849828864,6040,18066
786664955043049472,2505,10488
786595970293370880,3092,9353
786363235746385920,3430,10775
